Team Name,w--w-H,W--L-H,W--D-H,L--W-H,L--L-H,L--D-H,D--W-H,D--L-H,D--D-H,w--w-A,w--L-A,W--D-A,L--W-A,L--L-A,L--D-A,D--W-A,D--L-A,D--D-A
Arsenal,9,0,0,2,0,1,3,2,2,8,0,3,1,3,0,3,1,0
Aston Villa,11,1,0,0,3,1,1,1,1,1,0,1,0,7,0,5,1,4
Bournemouth,4,1,1,2,7,0,0,1,3,1,2,1,1,8,0,3,2,1
Brentford,7,1,2,1,1,1,2,0,4,3,0,0,1,7,1,1,0,6
Brighton,5,0,0,0,3,0,5,2,4,5,0,1,0,4,0,3,3,3
Chelsea,2,0,1,0,3,1,4,3,5,3,0,1,0,8,0,2,2,3
Crystal Palace,3,0,0,1,2,2,3,3,5,1,1,1,0,7,0,3,2,4
Everton,2,1,0,0,6,0,4,3,3,1,0,3,0,7,3,1,1,3
Fulham,6,0,1,0,6,2,2,0,2,2,1,0,1,3,0,4,6,2
Leeds,2,0,1,1,4,1,2,3,5,1,1,1,0,7,0,1,6,2
Leicester,4,0,2,0,6,0,1,4,2,4,1,0,0,6,2,0,5,1
Liverpool,9,0,0,1,0,4,3,1,1,5,0,0,0,5,1,1,3,4
Man City,12,0,1,2,0,0,3,1,0,7,0,1,0,1,1,4,3,2
Man United,12,0,0,0,1,1,3,0,2,5,0,2,0,5,0,3,3,1
Newcastle,6,0,1,1,2,0,4,0,5,6,1,0,1,2,1,1,0,7
Nottingham,4,2,1,0,2,3,4,1,2,1,1,2,0,7,1,0,5,2
Southampton,2,1,1,0,5,2,0,6,2,2,1,1,1,11,0,1,1,1
Tottenham,5,1,0,1,3,1,6,2,0,4,1,2,1,4,2,1,3,1
West Ham,5,0,0,0,5,2,3,2,2,2,1,0,0,7,1,1,5,2
Wolves,6,0,2,0,3,0,3,4,1,0,1,2,1,7,1,1,4,2
